start;end;duration;event
2022-07-12 14:30:00;2022-07-12 15:30:00;1,0;Product Feedback Meeting From Sales/Solutions
2022-07-12 14:30:00;2022-07-12 15:00:00;0,5;[Sheila + Denise + Thiago] - Weekly 
2022-07-12 15:30:00;2022-07-12 16:00:00;0,5;Bate-papo o uso do CLI
2022-07-12 16:00:00;2022-07-12 16:30:00;0,5;Reserva - Lucas Moreira / Flavio Nunes - EventsHub
2022-07-12 17:00:00;2022-07-12 18:00:00;1,0;Conversa | Mbolsa + Sensedia
2022-07-13 08:45:00;2022-07-13 09:15:00;0,5;Daily | Solutions Team
2022-07-13 09:00:00;2022-07-13 10:00:00;1,0;Zoop <> Sensedia (Pagamento de contas)
2022-07-13 10:00:00;2022-07-13 11:00:00;1,0;1º Workshop - Plantão de Dúvidas com as Autoridades Certificadoras - Certificados ICP Brasil <reserva>
2022-07-13 10:00:00;2022-07-13 11:00:00;1,0;Sensedia Open Banking Day 
2022-07-13 11:00:00;2022-07-13 11:45:00;0,75;[Sensedia] Cliente Keb Hana - Validação da PT
2022-07-13 11:15:00;2022-07-13 12:00:00;0,75;Open Finance Strat Sync
2022-07-13 12:00:00;2022-07-13 13:00:00;1,0;Out of office - Lunch Time
2022-07-13 14:00:00;2022-07-13 15:00:00;1,0;Reserva - Open Banking Day
2022-07-13 15:00:00;2022-07-13 15:30:00;0,5;Alinhamento Business Case
2022-07-14 08:45:00;2022-07-14 09:15:00;0,5;Daily | Solutions Team
2022-07-14 09:15:00;2022-07-14 10:15:00;1,0;Votorantim + Sensedia
2022-07-14 11:00:00;2022-07-14 12:00:00;1,0;[Open Finance] Tribo - Acompanhamento semanal
2022-07-14 12:00:00;2022-07-14 13:00:00;1,0;Out of office - Lunch Time
2022-07-14 12:15:00;2022-07-14 13:15:00;1,0;English Class - Fluentia
2022-07-14 13:30:00;2022-07-14 14:00:00;0,5;rec: OPBR Updates
2022-07-14 14:30:00;2022-07-14 15:30:00;1,0;Apresentação Sensedia - LuizaLabs
2022-07-14 15:00:00;2022-07-14 16:00:00;1,0;Sensedia - Bitz <> Proposta Open Banking
2022-07-14 15:00:00;2022-07-14 16:00:00;1,0;Proposta Open Banking
2022-07-14 16:00:00;2022-07-14 17:00:00;1,0;Conversa | Sensedia + 2W
2022-07-14 17:30:00;2022-07-14 18:00:00;0,5;rec: Imersão LATAM em Open Banking BR
2022-07-15 09:00:00;2022-07-15 10:00:00;1,0;WGO Amazing Solutions
2022-07-15 10:00:00;2022-07-15 12:00:00;2,0;BR Sales - Alinhamento Semanal
2022-07-15 10:30:00;2022-07-15 12:00:00;1,5;Solution Tech Meetings
2022-07-15 12:00:00;2022-07-15 13:00:00;1,0;Out of office - Lunch Time
2022-07-18 08:45:00;2022-07-18 09:15:00;0,5;Daily | Solutions Team
2022-07-18 09:00:00;2022-07-18 10:00:00;1,0;Review de Closing dates
2022-07-18 12:00:00;2022-07-18 13:00:00;1,0;Out of office - Lunch Time
2022-07-18 14:30:00;2022-07-18 15:30:00;1,0;Learning Week | Lifelong Learning: Thiago Freire
2022-07-18 15:30:00;2022-07-18 16:00:00;0,5;Waislan Luis / Flavio Nunes - Demo EventsHub
2022-07-18 17:00:00;2022-07-18 18:00:00;1,0;Open Banking Demos - Primeira Discussão & Grooming
2022-07-19 08:45:00;2022-07-19 09:15:00;0,5;Daily | Solutions Team
2022-07-19 09:30:00;2022-07-19 10:00:00;0,5;Deslocamento Ida - Cardif - Agenda Presencial
2022-07-19 10:00:00;2022-07-19 11:30:00;1,5;Cardif + Sensedia
2022-07-19 11:30:00;2022-07-19 12:00:00;0,5;Deslocamento Volta - Cardif - Agenda Presencial
2022-07-19 12:00:00;2022-07-19 13:00:00;1,0;Out of office - Lunch Time
